Areaname,ST,,LND110210D
"Zavala, TX",48,507,1297.41
UTAH,49,0,82169.62
"Beaver, UT",49,1,2589.88
"Box Elder, UT",49,3,5745.55
"Cache, UT",49,5,1164.81
"Carbon, UT",49,7,1478.49
"Daggett, UT",49,9,696.98
"Davis, UT",49,11,298.78
"Duchesne, UT",49,13,3240.95
"Emery, UT",49,15,4462.31
"Garfield, UT",49,17,5175.12
"Grand, UT",49,19,3671.54
"Iron, UT",49,21,3296.68
"Juab, UT",49,23,3392.28
"Kane, UT",49,25,3990.23
"Millard, UT",49,27,6572.43
"Morgan, UT",49,29,609.2
"Piute, UT",49,31,757.79
"Rich, UT",49,33,1028.78
"Salt Lake, UT",49,35,742.28
"San Juan, UT",49,37,7819.99
"Sanpete, UT",49,39,1590.15
"Sevier, UT",49,41,1910.58
"Summit, UT",49,43,1871.71
"Tooele, UT",49,45,6941.35
"Uintah, UT",49,47,4479.69
"Utah, UT",49,49,2003.45
"Wasatch, UT",49,51,1175.5
"Washington, UT",49,53,2426.36
"Wayne, UT",49,55,2460.68
"Weber, UT",49,57,576.08
VERMONT,50,0,9216.66
"Addison, VT",50,1,766.33
"Bennington, VT",50,3,674.98
"Caledonia, VT",50,5,648.86
"Chittenden, VT",50,7,536.58
"Essex, VT",50,9,663.6
"Franklin, VT",50,11,633.71
"Grand Isle, VT",50,13,81.81
"Lamoille, VT",50,15,458.8
"Orange, VT",50,17,687.03
"Orleans, VT",50,19,693.27
"Rutland, VT",50,21,929.82
"Washington, VT",50,23,687.23
"Windham, VT",50,25,785.31
"Windsor, VT",50,27,969.34
VIRGINIA,51,0,39490.09
"Accomack, VA",51,1,449.5
"Albemarle, VA",51,3,720.7
"Alleghany, VA",51,5,445.46
"Amelia, VA",51,7,355.27
"Amherst, VA",51,9,473.93
"Appomattox, VA",51,11,333.49
"Arlington, VA",51,13,25.97
"Augusta, VA",51,15,967
"Bath, VA",51,17,529.16
"Bedford, VA",51,19,753.02
"Bland, VA",51,21,357.73
"Botetourt, VA",51,23,541.2
"Brunswick, VA",51,25,566.17
"Buchanan, VA",51,27,502.76
"Buckingham, VA",51,29,579.66
"Campbell, VA",51,31,503.87
"Caroline, VA",51,33,527.51
"Carroll, VA",51,35,474.69
"Charles City, VA",51,36,182.82
"Charlotte, VA",51,37,475.27
"Chesterfield, VA",51,41,423.3
"Clarke, VA",51,43,176.18
"Craig, VA",51,45,329.53
"Culpeper, VA",51,47,379.23
"Cumberland, VA",51,49,297.46
"Dickenson, VA",51,51,330.53
"Dinwiddie, VA",51,53,503.72
"Essex, VA",51,57,257.12
"Fairfax, VA",51,59,390.97
"Fauquier, VA",51,61,647.45
"Floyd, VA",51,63,380.42
"Fluvanna, VA",51,65,286.01
"Franklin, VA",51,67,690.43
"Frederick, VA",51,69,413.5
"Giles, VA",51,71,355.78
"Gloucester, VA",51,73,217.81
"Goochland, VA",51,75,281.42
"Grayson, VA",51,77,442.18
"Greene, VA",51,79,156.25
"Greensville, VA",51,81,295.23
"Halifax, VA",51,83,817.84
"Hanover, VA",51,85,468.54
"Henrico, VA",51,87,233.7
"Henry, VA",51,89,382.33
"Highland, VA",51,91,415.16
"Isle of Wight, VA",51,93,315.61
"James City, VA",51,95,142.44
"King and Queen, VA",51,97,315.14
"King George, VA",51,99,179.64
"King William, VA",51,101,273.94
"Lancaster, VA",51,103,133.25
"Lee, VA",51,105,435.52
"Loudoun, VA",51,107,515.56
"Louisa, VA",51,109,496.3
"Lunenburg, VA",51,111,431.68
"Madison, VA",51,113,320.68
"Mathews, VA",51,115,85.93
"Mecklenburg, VA",51,117,625.49
"Middlesex, VA",51,119,130.31
"Montgomery, VA",51,121,387.01
"Nelson, VA",51,125,470.86
"New Kent, VA",51,127,209.73
"Northampton, VA",51,131,211.61
"Northumberland, VA",51,133,191.3
"Nottoway, VA",51,135,314.39
"Orange, VA",51,137,340.78
"Page, VA",51,139,310.86
"Patrick, VA",51,141,483.1
"Pittsylvania, VA",51,143,968.94
"Powhatan, VA",51,145,260.22
"Prince Edward, VA",51,147,349.96
"Prince George, VA",51,149,265.16
"Prince William, VA",51,153,336.4
"Pulaski, VA",51,155,319.86
"Rappahannock, VA",51,157,266.23
"Richmond, VA",51,159,191.49
"Roanoke, VA",51,161,250.52
"Rockbridge, VA",51,163,597.56
"Rockingham, VA",51,165,849.09
"Russell, VA",51,167,473.82
"Scott, VA",51,169,535.53
"Shenandoah, VA",51,171,508.78
"Smyth, VA",51,173,450.93
"Southampton, VA",51,175,599.15
"Spotsylvania, VA",51,177,401.5
"Stafford, VA",51,179,268.96
"Surry, VA",51,181,278.95
"Sussex, VA",51,183,490.22
"Tazewell, VA",51,185,518.85
"Warren, VA",51,187,213.47
"Washington, VA",51,191,560.98
"Westmoreland, VA",51,193,229.38
"Wise, VA",51,195,403.19
"Wythe, VA",51,197,461.82
"York, VA",51,199,104.78
"Alexandria, VA",51,510,15.03
"Bedford, VA",51,515,6.88
"Bristol, VA",51,520,13.01
"Buena Vista, VA",51,530,6.7
"Charlottesville, VA",51,540,10.24
"Chesapeake, VA",51,550,340.8
"Clifton Forge, VA",51,560,0
"Colonial Heights, VA",51,570,7.52
"Covington, VA",51,580,5.47
"Danville, VA",51,590,42.93
"Emporia, VA",51,595,6.89
"Fairfax, VA",51,600,6.24
"Falls Church, VA",51,610,2
"Franklin, VA",51,620,8.21
"Fredericksburg, VA",51,630,10.44
"Galax, VA",51,640,8.24
"Hampton, VA",51,650,51.41
"Harrisonburg, VA",51,660,17.42
"Hopewell, VA",51,670,10.28
"Lexington, VA",51,678,2.5
"Lynchburg, VA",51,680,49.13
"Manassas, VA",51,683,9.88
"Manassas Park, VA",51,685,2.53
"Martinsville, VA",51,690,10.96
"Newport News, VA",51,700,68.71
"Norfolk, VA",51,710,54.12
"Norton, VA",51,720,7.48
"Petersburg, VA",51,730,22.93
"Poquoson, VA",51,735,15.32
"Portsmouth, VA",51,740,33.65
"Radford, VA",51,750,9.87
"Richmond, VA",51,760,59.81
"Roanoke, VA",51,770,42.56
"Salem, VA",51,775,14.44
"South Boston, VA",51,780,0
"Staunton, VA",51,790,19.98
"Suffolk, VA",51,800,400.17
"Virginia Beach, VA",51,810,249.02
"Waynesboro, VA",51,820,15.04
"Williamsburg, VA",51,830,9.02
"Winchester, VA",51,840,9.23
WASHINGTON,53,0,66455.52
"Adams, WA",53,1,1924.98
"Asotin, WA",53,3,636.21
"Benton, WA",53,5,1700.38
"Chelan, WA",53,7,2920.53
"Clallam, WA",53,9,1738.33
"Clark, WA",53,11,629
"Columbia, WA",53,13,868.63
"Cowlitz, WA",53,15,1140.13
"Douglas, WA",53,17,1819.26
"Ferry, WA",53,19,2203.16
"Franklin, WA",53,21,1242.17
"Garfield, WA",53,23,710.69
"Grant, WA",53,25,2679.51
"Grays Harbor, WA",53,27,1902.03
"Island, WA",53,29,208.45
"Jefferson, WA",53,31,1803.7
"King, WA",53,33,2115.57
"Kitsap, WA",53,35,394.94
"Kittitas, WA",53,37,2297.27
"Klickitat, WA",53,39,1871.31
"Lewis, WA",53,41,2402.8
"Lincoln, WA",53,43,2310.49
"Mason, WA",53,45,959.42
"Okanogan, WA",53,47,5267.98
"Pacific, WA",53,49,932.66
"Pend Oreille, WA",53,51,1399.99
"Pierce, WA",53,53,1669.51
"San Juan, WA",53,55,173.92
"Skagit, WA",53,57,1731.2
"Skamania, WA",53,59,1655.68
"Snohomish, WA",53,61,2087.27
"Spokane, WA",53,63,1763.79
"Stevens, WA",53,65,2477.77
"Thurston, WA",53,67,721.96
"Wahkiakum, WA",53,69,263.38
"Walla Walla, WA",53,71,1270.13
"Whatcom, WA",53,73,2106.86
"Whitman, WA",53,75,2159.09
"Yakima, WA",53,77,4295.4
WEST VIRGINIA,54,0,24038.21
"Barbour, WV",54,1,341.06
"Berkeley, WV",54,3,321.14
"Boone, WV",54,5,501.54
"Braxton, WV",54,7,510.81
"Brooke, WV",54,9,89.21
"Cabell, WV",54,11,281.02
"Calhoun, WV",54,13,279.25
"Clay, WV",54,15,341.9
"Doddridge, WV",54,17,319.72
"Fayette, WV",54,19,661.55
"Gilmer, WV",54,21,338.5
"Grant, WV",54,23,477.37
"Greenbrier, WV",54,25,1019.57
"Hampshire, WV",54,27,640.25
"Hancock, WV",54,29,82.61
"Hardy, WV",54,31,582.31
"Harrison, WV",54,33,416.01
"Jackson, WV",54,35,464.35
"Jefferson, WV",54,37,209.64
"Kanawha, WV",54,39,901.59
"Lewis, WV",54,41,384.9
"Lincoln, WV",54,43,437.04
"Logan, WV",54,45,453.74
"McDowell, WV",54,47,533.46
"Marion, WV",54,49,308.74
"Marshall, WV",54,51,305.43
"Mason, WV",54,53,430.75
"Mercer, WV",54,55,418.99
"Mineral, WV",54,57,327.83
"Mingo, WV",54,59,423.11
"Monongalia, WV",54,61,360.06
"Monroe, WV",54,63,472.75
"Morgan, WV",54,65,229.07
"Nicholas, WV",54,67,646.82
"Ohio, WV",54,69,105.82
"Pendleton, WV",54,71,696.05
"Pleasants, WV",54,73,130.1
"Pocahontas, WV",54,75,940.28
"Preston, WV",54,77,648.81
"Putnam, WV",54,79,345.67
"Raleigh, WV",54,81,605.35
"Randolph, WV",54,83,1039.68
"Ritchie, WV",54,85,451.99
"Roane, WV",54,87,483.56
"Summers, WV",54,89,360.46
"Taylor, WV",54,91,172.77
"Tucker, WV",54,93,418.92
"Tyler, WV",54,95,256.29
"Upshur, WV",54,97,354.64
"Wayne, WV",54,99,505.98
"Webster, WV",54,101,553.47
"Wetzel, WV",54,103,358.06
"Wirt, WV",54,105,232.51
"Wood, WV",54,107,366.26
"Wyoming, WV",54,109,499.45
WISCONSIN,55,0,54157.8
"Adams, WI",55,1,645.65
"Ashland, WI",55,3,1045.04
"Barron, WI",55,5,862.71
"Bayfield, WI",55,7,1477.86
"Brown, WI",55,9,529.71
"Buffalo, WI",55,11,671.64
"Burnett, WI",55,13,821.85
"Calumet, WI",55,15,318.24
"Chippewa, WI",55,17,1008.37
"Clark, WI",55,19,1209.82
"Columbia, WI",55,21,765.53
"Crawford, WI",55,23,570.66
"Dane, WI",55,25,1197.24
"Dodge, WI",55,27,875.63
"Door, WI",55,29,481.98
"Douglas, WI",55,31,1304.14
"Dunn, WI",55,33,850.11
"Eau Claire, WI",55,35,637.98
"Florence, WI",55,37,488.2
"Fond du Lac, WI",55,39,719.55
"Forest, WI",55,41,1014.07
"Grant, WI",55,43,1146.85
"Green, WI",55,45,583.96
"Green Lake, WI",55,47,349.44
"Iowa, WI",55,49,762.58
"Iron, WI",55,51,758.17
"Jackson, WI",55,53,987.72
"Jefferson, WI",55,55,556.47
"Juneau, WI",55,57,766.93
"Kenosha, WI",55,59,271.99
"Kewaunee, WI",55,61,342.52
"La Crosse, WI",55,63,451.69
"Lafayette, WI",55,65,633.59
"Langlade, WI",55,67,870.64
"Lincoln, WI",55,69,878.97
"Manitowoc, WI",55,71,589.08
"Marathon, WI",55,73,1544.98
"Marinette, WI",55,75,1399.35
"Marquette, WI",55,77,455.6
"Menominee, WI",55,78,357.61
"Milwaukee, WI",55,79,241.4
"Monroe, WI",55,81,900.78
"Oconto, WI",55,83,997.99
"Oneida, WI",55,85,1112.97
"Outagamie, WI",55,87,637.52
"Ozaukee, WI",55,89,233.08
"Pepin, WI",55,91,231.98
"Pierce, WI",55,93,573.75
"Polk, WI",55,95,913.96
"Portage, WI",55,97,800.68
"Price, WI",55,99,1254.38
"Racine, WI",55,101,332.5
"Richland, WI",55,103,586.15
"Rock, WI",55,105,718.14
"Rusk, WI",55,107,913.59
"St. Croix, WI",55,109,722.33
"Sauk, WI",55,111,830.9
"Sawyer, WI",55,113,1257.31
"Shawano, WI",55,115,893.06
"Sheboygan, WI",55,117,511.27
"Taylor, WI",55,119,974.88
"Trempealeau, WI",55,121,732.97
"Vernon, WI",55,123,791.58
"Vilas, WI",55,125,856.6
"Walworth, WI",55,127,555.13
"Washburn, WI",55,129,797.11
"Washington, WI",55,131,430.7
"Waukesha, WI",55,133,549.57
"Waupaca, WI",55,135,747.71
"Waushara, WI",55,137,626.15
"Winnebago, WI",55,139,434.49
"Wood, WI",55,141,793.12
WYOMING,56,0,97093.14
"Albany, WY",56,1,4273.84
"Big Horn, WY",56,3,3137.1
"Campbell, WY",56,5,4802.71
"Carbon, WY",56,7,7897.58
"Converse, WY",56,9,4254.88
"Crook, WY",56,11,2854.41
"Fremont, WY",56,13,9183.81
"Goshen, WY",56,15,2225.39
"Hot Springs, WY",56,17,2004.09
"Johnson, WY",56,19,4154.15
"Laramie, WY",56,21,2685.91
"Lincoln, WY",56,23,4076.13
"Natrona, WY",56,25,5340.35
"Niobrara, WY",56,27,2626.04
"Park, WY",56,29,6942.08
"Platte, WY",56,31,2084.21
"Sheridan, WY",56,33,2523.99
"Sublette, WY",56,35,4886.54
"Sweetwater, WY",56,37,10426.65
"Teton, WY",56,39,3995.38
"Uinta, WY",56,41,2081.26
"Washakie, WY",56,43,2238.55
"Weston, WY",56,45,2398.09
